OBJECTID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,66121.47265,-98346671.72
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,41055.80989,-54553587.14
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,105292.1389,-253785361.3
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,108085.2555,-209730809
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,107206.4017,-197475689
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,60716.96113,-90321525.3
7,E06000007,Warrington, ,362744,388456,-2.5616701,53.391628,84154.64071,-182383629.9
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4635999,53.700802,65284.97098,-137022079.7
9,E06000009,Blackpool, ,332819,436635,-3.0219901,53.82164,36304.96402,-43150770.1
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382001,53.769199,45989.70353,-81497384.63
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66194999,53.881119,381532.045,-2495096964
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,90688.35898,-202662547.7
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407002,53.58643,184636.5249,-875684587.7
14,E06000014,York, ,460864,452589,-1.07375,53.96582,99399.43741,-272014815.4
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,50037.73553,-78031124.3
16,E06000016,Leicester, ,458946,304594,-1.1303999,52.635921,51932.00335,-73342074.19
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.667648,125885.2339,-393748908.2
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,58724.23653,-74613560.48
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,349889.4398,-2179709442
20,E06000020,Telford and Wrekin, ,367035,313057,-2.4894099,52.714169,118780.0333,-290313545.2
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.017071,63974.629,-93448483.35
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.4865401,51.356041,141684.8142,-351123213.8
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.471149,144906.0007,-235425227
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.397072,140593.4735,-390703956.9
25,E06000025,South Gloucestershire, ,367559,183198,-2.4692199,51.54673,160083.2189,-536421923.8
26,E06000026,Plymouth, ,249945,58255,-4.1129699,50.404942,63654.11852,-84369779.59
27,E06000027,Torbay, ,289730,64613,-3.5552299,50.470921,52380.28664,-119466643.1
28,E06000030,Swindon, ,418551,186564,-1.73367,51.577629,103014.9402,-230093374.7
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,112635.3046,-343437864.2
30,E06000032,Luton, ,508606,222559,-0.42319,51.891022,34569.65312,-43352491.65
31,E06000033,Southend-on-Sea, ,587777,186837,0.70692301,51.549171,72391.97251,-67864091.12
32,E06000034,Thurrock, ,562123,181590,0.33486101,51.509979,77762.10388,-184317858.6
33,E06000035,Medway, ,578207,175198,0.56317401,51.44772,92535.7941,-269063686.9
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.411301,62508.0775,-109384210.3
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.445591,166802.0315,-704169402.4
36,E06000038,Reading, ,470226,173154,-0.99071002,51.453018,39330.82047,-40397991.83
37,E06000039,Slough, ,498920,179246,-0.57617003,51.503502,44181.3937,-32542008.96
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.480339,114829.4209,-198427175.1
39,E06000041,Wokingham, ,476624,169902,-0.89934999,51.422958,86865.90159,-178965481
40,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.072411,102960.5902,-308626789.3
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079001,50.8465,58181.22305,-85385894.4
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.807999,42503.81,-60135846.98
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,37286.19666,-56385164.85
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.671291,124905.7481,-392829441.4
45,E06000047,County Durham, ,410381,532242,-1.8405,54.685131,309894.1545,-2232611706
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.167931,301225.3774,-1166357380
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.163361,258518.4877,-941207270.6
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,580650.6785,-3197275381
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.450218,874739.5543,-3612060475
50,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.923321,176560.5959,-22849391.45
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.328831,402006.9682,-3255338124
52,E06000055,Bedford, ,505721,256463,-0.45462999,52.196281,131721.2686,-476408299.2
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.999031,232692.7177,-715665302.2
54,E06000057,Northumberland, ,395322,600699,-2.0752299,55.300369,568098.7329,-5077475494
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,90480.57818,-173932097
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,416806.2259,-2521074362
57,E07000004,Aylesbury Vale, ,477330,223020,-0.87746,51.900372,243091.8273,-902753224.9
58,E07000005,Chiltern, ,495432,198692,-0.62111998,51.678902,87262.67791,-196348229.8
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.559441,85473.90992,-141275609.1
60,E07000007,Wycombe, ,482477,197052,-0.80883002,51.666199,113202.0025,-324572080.5
61,E07000008,Cambridge, ,545420,257901,0.126436,52.200169,37170.44317,-40698794.93
62,E07000009,East Cambridgeshire, ,555576,275765,0.283149,52.35788,192583.1383,-651720399.9
63,E07000010,Fenland, ,536361,294959,0.009016,52.535439,153633.5282,-547355396.7
64,E07000011,Huntingdonshire, ,521008,274269,-0.2247,52.353149,222221.6434,-912545831.5
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.108051,256919.789,-901687154.2
66,E07000026,Allerdale, ,317520,532997,-3.2809,54.685242,233108.4695,-1318964583
67,E07000027,Barrow-in-Furness, ,321741,474165,-3.1998999,54.15731,80046.69551,-132075290.7
68,E07000028,Carlisle, ,348576,565154,-2.80498,54.978329,217155.4313,-1056118864
69,E07000029,Copeland, ,310871,508739,-3.3766401,54.466171,165675.2204,-775717628.2
70,E07000030,Eden, ,359636,526396,-2.62678,54.631069,268725.444,-2156474495
71,E07000031,South Lakeland, ,349265,489555,-2.78108,54.29908,323076.6647,-1743413175
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.028839,109036.5204,-265437867.7
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.23875,96239.20257,-160334649.8
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.255749,52617.76725,-66035290.69
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.12326,245475.8466,-795318063.3
76,E07000036,Erewash, ,443721,338063,-1.3509001,52.938202,73547.56002,-109630046.2
77,E07000037,High Peak, ,410474,387660,-1.84398,53.385689,159632.9988,-540253999.8
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,161243.8795,-275623524.4
79,E07000039,South Derbyshire, ,431443,325363,-1.5348001,52.824902,166693.2648,-338126970.3
80,E07000040,East Devon, ,313790,96050,-3.2235899,50.757599,217097.3768,-822675975
81,E07000041,Exeter, ,293239,92005,-3.51368,50.717819,37265.58157,-47888333.33
82,E07000042,Mid Devon, ,288064,108911,-3.5921199,50.86882,246408.7935,-912897719.7
83,E07000043,North Devon, ,265110,132532,-3.9269099,51.07621,252453.118,-1104720564
84,E07000044,South Hams, ,270676,54036,-3.8199601,50.371948,350186.8038,-905200685.4
85,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,161770.2026,-680083337.8
86,E07000046,Torridge, ,244206,114334,-4.2172799,50.907391,324723.5185,-995203527.5
