OBJECTID,WD21CD,WD21NM,WD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
1,E05000026,Abbey, ,544433,184376,0.081276,51.53981,{AA6AAFBE-1338-4552-85DE-8F9E22194867},8106.041571,1253224.615
2,E05000027,Alibon, ,549247,185196,0.150987,51.545921,{30594F2F-187E-4808-A373-D2B211B00DDD},6353.91764,1364442.122
3,E05000028,Becontree, ,546860,185870,0.116869,51.552608,{ED9BBB57-7546-4835-957E-0AA71ECF2322},6356.336313,1292418.143
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,{511830CB-05C8-4A7A-8443-7740733B9589},9637.016122,3384422.956
5,E05000030,Eastbrook, ,550775,186271,0.173467,51.55518,{41515820-16C3-4028-8D09-BF79A311AE4B},9041.032044,3450817.691
6,E05000031,Eastbury, ,546074,183978,0.104756,51.535809,{2FDB6416-A32B-4ECC-96F6-391C5FC11154},6828.143525,1439218.476
7,E05000032,Gascoigne, ,544767,183577,0.085759997,51.532539,{50B1591C-287A-4EC0-9A9E-E16F21E85A04},7800.914141,1097083.967
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.536041,{8AB6DA4C-5BAB-4EC9-BEF3-4D3D8A5D4177},5703.296518,1277822.958
9,E05000034,Heath, ,549340,186620,0.152931,51.558689,{AA5ED414-4F70-43CD-9E8D-1F3577B4D954},8069.461182,2002017.781
10,E05000035,Longbridge, ,545274,184913,0.093615003,51.544418,{56380D75-15E9-4716-9C9F-B7982F9CB7D3},6407.369948,1646452.116
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.545189,{3F28B40A-FB48-408F-AA78-F609E35EE153},7635.285211,1856443.677
12,E05000037,Parsloes, ,548150,185599,0.13534801,51.549831,{DAFC1E6A-B77B-40FA-A7B7-470012EDBF59},6796.705989,1243847.205
13,E05000038,River, ,549430,182817,0.15261599,51.524502,{E3DDBED7-A213-464B-8A9B-D5C8457BD3F6},9801.42573,3126243.724
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,{F3BB850A-DBAD-44C8-A1FC-ADCD86FBF214},13320.23543,6674100.237
15,E05000040,Valence, ,548153,186867,0.13592499,51.56123,{E7AFA550-8405-4F87-8793-4991D3252DE6},5790.03399,1292632.04
16,E05000041,Village, ,550360,184190,0.16659699,51.536591,{20923241-B832-45FF-AB39-16E21FA6F085},7865.17499,2145391.826
17,E05000042,Whalebone, ,548545,187662,0.141911,51.568272,{F6AF1065-6D4B-40DC-BC92-F8966CDD6C4B},7036.406367,1554787.903
18,E05000043,Brunswick Park, ,528434,193714,-0.14587,51.62759,{CA8A51F7-CFD0-47C7-8EF8-80D4C029C648},8427.24974,3180182.048
19,E05000044,Burnt Oak, ,520523,190761,-0.26111999,51.602798,{44C1F02F-C5AF-4CD3-9FCE-1CEF5667C61D},6776.855368,2067019.611
20,E05000045,Childs Hill, ,524665,186693,-0.20277999,51.565338,{E8F1B3A3-8691-40F2-97AD-CC645617C51B},9310.730297,3092570.67
21,E05000046,Colindale, ,521441,189584,-0.24827,51.592018,{CB339E24-5AAA-43D7-9D4A-F321211D8408},8459.30674,2637512.256
22,E05000047,Coppetts, ,528054,191829,-0.15204,51.610741,{3B38C995-8FD0-419C-90F2-41A79E8207FE},7990.850855,2721141.17
23,E05000048,East Barnet, ,527474,195756,-0.15899,51.64616,{2B79F306-20D4-457A-8088-4186EE745168},9699.809097,3754276.572
24,E05000049,East Finchley, ,526811,190033,-0.17062999,51.594879,{B07B4E55-83FF-4600-A9FD-AFAA7E38B6C1},8190.175591,2509310.405
25,E05000050,Edgware, ,518863,193352,-0.28420001,51.626438,{0713089F-E0B4-4E3F-9FF9-49338C9ADA6F},12880.64664,5557949.886
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.596809,{9A2F4A86-ECEF-4BFC-B584-8B68728C7B49},8223.784439,2725663.381
27,E05000052,Garden Suburb, ,526123,188444,-0.18113001,51.58075,{6B966DBB-6655-4F6D-8DE0-82AD4F044E83},10463.40279,4728235.314
28,E05000053,Golders Green, ,523818,187290,-0.21479,51.570889,{E27F1C4E-BF5D-4A82-82C9-E829E5464160},9432.79367,2978101.108
29,E05000054,Hale, ,520890,193803,-0.25477001,51.630058,{6505A657-DD6A-4691-9153-917092DC473F},15683.39131,5423188.058
30,E05000055,Hendon, ,523084,189557,-0.22458,51.591431,{0FC093D8-730D-4322-AD1D-49BA8326814A},7781.578022,2838690.682
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.655411,{339801FE-AE5E-408B-A49F-26019C5302EA},19810.00282,8308415.236
32,E05000057,Mill Hill, ,523111,192066,-0.22330999,51.613972,{C79965CB-380B-4D25-957F-9173C15A6935},14778.08802,9389243.776
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.637192,{032B0D82-81D9-4F30-B8BF-B79746595AAB},11713.85085,3318596.667
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.626591,{826C260A-7A23-4BBB-BD61-F9854A28EF2C},17435.51038,8774453.074
35,E05000060,Underhill, ,523991,195493,-0.20939,51.644569,{890BB6B4-188B-45C0-A281-04C2B2F56518},16319.76338,4550549.59
36,E05000061,West Finchley, ,525518,191440,-0.18878999,51.607811,{D927E252-3CB6-47E7-8391-94A0EC21384F},7848.156827,2163447.088
37,E05000062,West Hendon, ,522397,188065,-0.23501,51.578171,{EDC4222B-8C42-4A5B-A75E-1FC383598053},10264.74595,3427001.375
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.611301,{BB167FB0-B0EE-4DB8-84BF-DEEEA8149E52},8890.521957,2621155.27
39,E05000085,Alperton, ,518346,183853,-0.29486001,51.541168,{EA27D9E0-349E-43AD-89A8-70C6EF4769F6},8972.995671,2060963.29
40,E05000086,Barnhill, ,519301,187233,-0.27994999,51.57135,{18A00C51-DC7F-43F3-A1DA-BBDF8606B3A6},10081.26713,2979038.918
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.542351,{A23C12FB-B43F-42B9-B74C-483605BD3005},6875.143931,1728887.319
42,E05000088,Dollis Hill, ,522313,186513,-0.23676001,51.56424,{8D65E396-6148-4916-9E4E-9CB292E78FDC},7280.012675,2298098.734
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.555229,{21604EAE-3E7A-4AF4-8FBB-95D3BDF38F13},9704.161336,1681853.794
44,E05000090,Fryent, ,520182,188421,-0.26684001,51.581841,{E104CE22-918F-4569-B40B-5D9825DE2E9E},9274.375984,2659873.249
45,E05000091,Harlesden, ,521490,183877,-0.24954,51.540722,{047561B8-1146-4DD1-A190-FFDA86C1639F},5222.362855,1115493.919
46,E05000092,Kensal Green, ,522352,183277,-0.23732001,51.535149,{41688D56-E4F7-409D-A94C-D1F7774DA434},5686.374327,1120564.126
47,E05000093,Kenton, ,517617,188189,-0.30392,51.580299,{570B0BE7-5955-4A0F-AC2E-B999F6E6D678},7660.984904,2237648.882
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.539268,{2F948305-6C6B-4797-8A86-D7D62D51891E},5268.817326,941732.304
49,E05000095,Mapesbury, ,523467,185440,-0.22050001,51.55434,{B4D67E2E-220B-452D-A166-EE84AC1B9CF6},5804.704639,1393425.609
50,E05000096,Northwick Park, ,516714,187253,-0.31726,51.572071,{E1B775A6-425A-4AC0-A64D-71C0815C912E},8767.351909,2678581.844
51,E05000097,Preston, ,518207,186413,-0.296,51.564209,{33799DA1-177B-4068-9428-6F558B9530B5},7412.102174,2388246.802
52,E05000098,Queens Park, ,524048,183332,-0.21286,51.535271,{F785EB1A-FCC1-4826-A132-DD148A996836},6485.278808,1486164.369
53,E05000099,Queensbury, ,519675,189604,-0.27375001,51.592579,{BB37B11B-2B13-42A3-A1D2-8D3604A53CBE},6827.900212,2056462.175
54,E05000100,Stonebridge, ,520082,183658,-0.26991001,51.539059,{6F33A18F-946E-48FB-9E29-AFEA140031D1},11165.51966,4055798.587
55,E05000101,Sudbury, ,516873,185370,-0.31558999,51.555119,{8CF4C7A1-B488-4765-AB96-E2AB847BDF27},8749.747423,2123133.603
56,E05000102,Tokyngton, ,519356,185188,-0.27985001,51.552959,{C32DE0B4-8E5A-4445-9D2E-76E506A2F725},7748.027536,2759199.983
57,E05000103,Welsh Harp, ,520882,186662,-0.25734001,51.56588,{E5142207-21C3-4CDA-BD57-FF8DB63DF4AF},9393.32667,2319319.496
58,E05000104,Wembley Central, ,518205,184839,-0.29655999,51.550072,{880A7B8A-B517-4CDC-85CD-A0F60CBBD5C6},7604.381235,1604220.847
59,E05000105,Willesden Green, ,522219,184330,-0.23886999,51.54464,{E17AB804-9A38-4D5C-8BDD-ED2CE59CEAF8},7594.645132,1547656.649
60,E05000106,Bickley, ,542443,169027,0.046418,51.40239,{514C9458-F717-453F-898A-BD387C62743C},10628.38257,4869085.846
61,E05000107,Biggin Hill, ,541093,159117,0.023097999,51.313671,{08C5F9BE-0C45-413C-B2CB-58B3C6966A2C},16490.96303,8280524.991
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.369839,{7B56CCD0-BAD1-4BAC-8927-542B1028F6D7},19019.13459,8308216.684
63,E05000109,Bromley Town, ,540273,169268,0.015338,51.40509,{B8EB3307-44C3-4D2E-8B6F-F989087011EE},13703.99599,3716453.918
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.344551,{B577005B-57BD-4E1A-893F-DE5D4A37633F},23228.04885,12563168.36
