LSOA code,LSOA name,LONG_,LAT,Bicycle theft
E01008881,Birmingham 067A,-1.81463,52.4668,2
E01008883,Birmingham 078A,-1.82302,52.4628,3
E01008884,Birmingham 078B,-1.83598,52.4603,1
E01008886,Birmingham 076B,-1.81287,52.4603,3
E01008887,Birmingham 078C,-1.81983,52.4598,1
E01008894,Birmingham 089E,-1.82147,52.448,2
E01008896,Birmingham 066B,-1.81893,52.4724,1
E01008907,Birmingham 040B,-1.91596,52.5013,2
E01008909,Birmingham 041D,-1.90218,52.4988,1
E01008910,Birmingham 050A,-1.88796,52.4969,1
E01008913,Birmingham 050B,-1.89721,52.4959,1
E01008914,Birmingham 050C,-1.89878,52.4896,2
E01008916,Birmingham 037E,-1.88303,52.5104,1
E01008917,Birmingham 102A,-2.00767,52.4414,5
E01008918,Birmingham 094A,-2.00009,52.4437,1
E01008921,Birmingham 094C,-2.0107,52.4461,1
E01008923,Birmingham 102B,-2.00587,52.4363,3
E01008929,Birmingham 106C,-1.98769,52.4306,1
E01008930,Birmingham 106D,-1.99275,52.4223,3
E01008931,Birmingham 094D,-1.9936,52.4464,1
E01008933,Birmingham 105A,-1.86472,52.4306,2
E01008935,Birmingham 111B,-1.87358,52.4244,1
E01008936,Birmingham 111C,-1.88353,52.4253,1
E01008939,Birmingham 111E,-1.87145,52.4201,1
E01008944,Birmingham 115D,-1.85525,52.412,2
E01008947,Birmingham 122C,-1.88247,52.4085,1
E01008948,Birmingham 122D,-1.88378,52.4043,1
E01008949,Birmingham 122E,-1.87964,52.4023,1
E01008950,Birmingham 113A,-1.94667,52.425,1
E01008951,Birmingham 112A,-1.93602,52.4266,1
E01008952,Birmingham 112B,-1.92107,52.4274,3
E01008953,Birmingham 107A,-1.91564,52.4249,1
E01008955,Birmingham 112C,-1.92592,52.4231,3
E01008956,Birmingham 112D,-1.93666,52.4209,1
E01008957,Birmingham 112E,-1.92362,52.4186,5
E01008958,Birmingham 113C,-1.95554,52.4192,1
E01008959,Birmingham 116A,-1.94338,52.4169,2
E01008960,Birmingham 116B,-1.93199,52.4181,1
E01008961,Birmingham 116C,-1.92971,52.4169,3
E01008964,Birmingham 107C,-1.91113,52.4354,1
E01008965,Birmingham 107D,-1.9125,52.4289,2
E01008970,Birmingham 110C,-1.90424,52.4227,1
E01008971,Birmingham 117D,-1.89082,52.4183,4
E01008973,Birmingham 118B,-1.90632,52.4159,2
E01008974,Birmingham 118C,-1.89696,52.4136,1
E01008975,Birmingham 118D,-1.9104,52.4109,1
E01008976,Birmingham 121A,-1.8891,52.4112,2
E01008977,Birmingham 123A,-1.91704,52.414,1
E01008981,Birmingham 110D,-1.89741,52.4295,1
E01008982,Birmingham 079A,-1.91039,52.4554,2
E01008986,Birmingham 064A,-1.94578,52.4742,1
E01008987,Birmingham 064B,-1.93239,52.4748,1
E01008989,Birmingham 064D,-1.95029,52.4731,2
E01008990,Birmingham 064E,-1.92797,52.4671,5
E01008992,Birmingham 079C,-1.93975,52.4622,9
E01008994,Birmingham 074B,-1.91082,52.4684,5
E01008995,Birmingham 134A,-1.90077,52.4654,3
E01008999,Birmingham 031B,-1.84279,52.5149,2
E01009000,Birmingham 031C,-1.84656,52.5183,3
E01009006,Birmingham 023C,-1.84248,52.5314,1
E01009007,Birmingham 023D,-1.83908,52.5259,11
E01009013,Birmingham 031D,-1.83937,52.5197,3
E01009014,Birmingham 090A,-1.84173,52.4444,1
E01009015,Birmingham 089G,-1.81965,52.4443,3
E01009018,Birmingham 090B,-1.83199,52.4452,2
E01009020,Birmingham 103B,-1.82516,52.4406,1
E01009022,Birmingham 098B,-1.83144,52.4387,1
E01009023,Birmingham 098C,-1.83284,52.4337,1
E01009026,Birmingham 090C,-1.84078,52.4501,1
E01009031,Birmingham 105C,-1.85231,52.4304,2
E01009033,Birmingham 103F,-1.8297,52.4271,3
E01009034,Birmingham 108B,-1.84498,52.4268,1
E01009035,Birmingham 108C,-1.83703,52.4272,1
E01009036,Birmingham 108D,-1.84034,52.422,2
E01009037,Birmingham 105D,-1.85426,52.4238,1
E01009039,Birmingham 132A,-1.84475,52.4182,3
E01009046,Birmingham 097E,-1.85335,52.4353,1
E01009047,Birmingham 040C,-1.91077,52.5056,1
E01009053,Birmingham 033B,-1.8884,52.5124,1
E01009056,Birmingham 032B,-1.92359,52.5099,1
E01009059,Birmingham 035E,-1.90838,52.5095,1
E01009064,Birmingham 095B,-1.96574,52.4459,1
E01009065,Birmingham 075A,-1.95224,52.4656,1
E01009068,Birmingham 075C,-1.95231,52.4588,3
E01009069,Birmingham 075D,-1.94711,52.4595,4
E01009070,Birmingham 073B,-1.97157,52.4582,2
E01009071,Birmingham 087B,-1.96404,52.4524,2
E01009072,Birmingham 075E,-1.96101,52.4568,4
E01009074,Birmingham 085B,-1.97462,52.4544,2
E01009075,Birmingham 087C,-1.94994,52.4541,1
E01009078,Birmingham 087E,-1.95023,52.446,1
E01009079,Birmingham 038A,-1.81698,52.5066,1
E01009090,Birmingham 042E,-1.81327,52.4921,3
E01009097,Birmingham 029B,-1.78037,52.5179,1
E01009098,Birmingham 025C,-1.80688,52.5203,5
E01009099,Birmingham 029C,-1.78973,52.5198,1
E01009101,Birmingham 029D,-1.79978,52.5131,8
E01009102,Birmingham 028D,-1.81904,52.5125,2
E01009103,Birmingham 029E,-1.79272,52.5141,2
E01009113,Birmingham 128C,-1.93479,52.389,2
E01009114,Birmingham 128D,-1.94313,52.3959,3
E01009115,Birmingham 128E,-1.93811,52.3921,1
E01009116,Birmingham 127D,-1.93876,52.4083,2
E01009117,Birmingham 126A,-1.94858,52.4078,1
E01009119,Birmingham 123C,-1.92666,52.4106,3
E01009120,Birmingham 123D,-1.92052,52.4063,1
E01009121,Birmingham 014A,-1.86543,52.5358,1
E01009126,Birmingham 026A,-1.8666,52.5261,1
E01009132,Birmingham 014D,-1.86424,52.545,2
E01009134,Birmingham 011F,-1.88209,52.5438,2
E01009140,Birmingham 060C,-1.93142,52.4795,1
E01009141,Birmingham 137A,-1.92267,52.4822,5
E01009145,Birmingham 060D,-1.95164,52.4789,1
E01009146,Birmingham 136B,-1.91365,52.4732,10
E01009152,Birmingham 053B,-1.94306,52.4845,1
E01009153,Birmingham 053C,-1.92956,52.4829,3
E01009159,Birmingham 130A,-2.00907,52.3982,4
E01009162,Birmingham 124A,-1.9876,52.4026,17
E01009165,Birmingham 129C,-1.99329,52.3951,1
E01009166,Birmingham 131A,-1.97978,52.3931,1
E01009171,Birmingham 130D,-2.00561,52.3886,1
E01009175,Birmingham 104A,-1.88294,52.4332,2
E01009177,Birmingham 104B,-1.89894,52.4344,1
E01009178,Birmingham 104C,-1.89348,52.4349,28
E01009179,Birmingham 104D,-1.88677,52.4295,2
E01009182,Birmingham 092A,-1.89085,52.4528,2
E01009183,Birmingham 088C,-1.89931,52.4479,6
E01009184,Birmingham 092B,-1.88953,52.4455,4
E01009185,Birmingham 093A,-1.87549,52.4401,1
E01009186,Birmingham 088D,-1.90236,52.4426,1
E01009187,Birmingham 092C,-1.88408,52.4431,1
E01009188,Birmingham 092D,-1.88793,52.4388,12
E01009194,Birmingham 051A,-1.84979,52.4859,1
E01009198,Birmingham 058D,-1.85722,52.4806,1
E01009200,Birmingham 139A,-1.87489,52.4764,3
E01009203,Birmingham 043C,-1.87508,52.4934,3
E01009204,Birmingham 052E,-1.87467,52.4854,3
E01009205,Birmingham 120A,-1.95274,52.4115,1
E01009208,Birmingham 124C,-1.98201,52.4025,1
E01009209,Birmingham 124D,-1.97382,52.4047,4
E01009210,Birmingham 126B,-1.9644,52.406,2
E01009213,Birmingham 124E,-1.97655,52.3993,5
E01009214,Birmingham 126D,-1.95509,52.402,1
E01009216,Birmingham 131D,-1.96263,52.3944,2
E01009218,Birmingham 120D,-1.95881,52.4158,1
E01009219,Birmingham 120E,-1.96863,52.4137,1
E01009221,Birmingham 007A,-1.88245,52.5563,1
E01009222,Birmingham 008B,-1.89546,52.5545,1
E01009225,Birmingham 013B,-1.89977,52.5492,1
E01009231,Birmingham 017D,-1.8828,52.5354,1
E01009236,Birmingham 019B,-1.91109,52.5373,2
E01009239,Birmingham 033F,-1.89358,52.5223,5
E01009241,Birmingham 024D,-1.91354,52.5266,1
E01009242,Birmingham 024E,-1.90872,52.5218,3
E01009244,Birmingham 019C,-1.9065,52.5394,1
E01009245,Birmingham 016C,-1.92682,52.5433,2
E01009248,Birmingham 019D,-1.90026,52.5361,1
E01009253,Birmingham 080D,-2.00215,52.4584,3
E01009255,Birmingham 080E,-1.98733,52.4536,1
E01009257,Birmingham 080F,-1.99468,52.4549,1
E01009258,Birmingham 085E,-1.98298,52.4516,3
E01009273,Birmingham 034E,-1.9468,52.5098,1
E01009274,Birmingham 036C,-1.95041,52.5086,2
E01009280,Birmingham 100A,-1.93012,52.4341,2
E01009282,Birmingham 100B,-1.92251,52.4327,1
E01009283,Birmingham 079E,-1.91404,52.4461,2
E01009284,Birmingham 096A,-1.93872,52.442,9
E01009286,Birmingham 096C,-1.92579,52.4401,2
E01009288,Birmingham 100C,-1.91974,52.4434,1
E01009289,Birmingham 096E,-1.93365,52.4431,5
E01009290,Birmingham 096F,-1.93009,52.4388,2
E01009292,Birmingham 099B,-1.94926,52.4423,3
E01009293,Birmingham 100D,-1.92154,52.4374,1
E01009296,Birmingham 100E,-1.91616,52.4387,1
E01009298,Birmingham 054D,-1.78749,52.4827,1
E01009299,Birmingham 057B,-1.77725,52.481,4
E01009301,Birmingham 057D,-1.7663,52.4798,2
E01009302,Birmingham 069A,-1.76086,52.4733,1
E01009303,Birmingham 057E,-1.76862,52.4759,1
E01009304,Birmingham 046A,-1.77463,52.4988,1
E01009305,Birmingham 045C,-1.78895,52.4982,2
E01009307,Birmingham 045D,-1.78276,52.4987,2
E01009310,Birmingham 046D,-1.76682,52.4964,2
E01009311,Birmingham 054E,-1.7918,52.4851,1
E01009314,Birmingham 069B,-1.78019,52.462,1
E01009315,Birmingham 081A,-1.78499,52.4558,2
E01009320,Birmingham 081F,-1.76512,52.4536,1
E01009321,Birmingham 069C,-1.76823,52.4692,1
E01009324,Birmingham 072B,-1.79033,52.4662,1
E01009327,Birmingham 139B,-1.84399,52.4725,1
E01009329,Birmingham 070A,-1.85449,52.4699,3
E01009331,Birmingham 139D,-1.8471,52.4753,1
E01009332,Birmingham 139E,-1.86172,52.473,5
E01009335,Birmingham 139G,-1.84206,52.464,1
E01009339,Birmingham 140A,-1.85579,52.4583,2
E01009341,Birmingham 066E,-1.82725,52.4786,3
E01009344,Birmingham 139H,-1.85492,52.4751,1
