LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01033631,Birmingham 079F,12.334,-1.9212,52.4577,Bicycle theft,173
E01009642,Coventry 031C,21.685,-1.51165,52.408,Bicycle theft,155
E01033562,Birmingham 087F,28.351,-1.94456,52.4525,Bicycle theft,66
E01033620,Birmingham 138A,27.122,-1.8997,52.4814,Bicycle theft,50
E01010521,Wolverhampton 020F,33.7,-2.12412,52.591,Bicycle theft,47
E01009178,Birmingham 104C,32.264,-1.89348,52.4349,Bicycle theft,28
E01009638,Coventry 024C,71.091,-1.5018,52.4133,Bicycle theft,26
E01009671,Coventry 042C,10.672,-1.55095,52.372,Bicycle theft,26
E01033615,Birmingham 135C,25.827,-1.89514,52.475,Bicycle theft,24
E01010192,Solihull 019A,8.595,-1.78594,52.4073,Bicycle theft,23
E01033561,Birmingham 050E,26.7,-1.88445,52.4845,Bicycle theft,22
E01010368,Walsall 030A,61.194,-1.98722,52.5903,Bicycle theft,21
E01009574,Coventry 015F,54.621,-1.50606,52.4159,Bicycle theft,21
E01009635,Coventry 028C,25.446,-1.49578,52.4068,Bicycle theft,19
E01032590,Solihull 030D,15.705,-1.83326,52.4153,Bicycle theft,18
E01009162,Birmingham 124A,29.026,-1.9876,52.4026,Bicycle theft,17
E01033627,Birmingham 137E,46.933,-1.91355,52.4799,Bicycle theft,14
E01010406,Walsall 027C,40.67,-2.05205,52.5775,Bicycle theft,13
E01010464,Wolverhampton 020B,56.706,-2.13921,52.5823,Bicycle theft,13
E01009661,Coventry 028D,32.784,-1.48641,52.4089,Bicycle theft,13
E01009548,Coventry 031A,16.26,-1.50403,52.4002,Bicycle theft,12
E01009575,Coventry 005B,37.729,-1.49578,52.4435,Bicycle theft,12
E01009188,Birmingham 092D,22.003,-1.88793,52.4388,Bicycle theft,12
E01033625,Birmingham 138D,13.687,-1.90486,52.4778,Bicycle theft,12
E01010125,Solihull 006A,57.96,-1.7367,52.4807,Bicycle theft,12
E01010564,Wolverhampton 012C,38.02,-2.08241,52.5951,Bicycle theft,12
E01033634,Birmingham 096G,15.544,-1.93014,52.4446,Bicycle theft,11
E01033617,Birmingham 050F,23.217,-1.89327,52.4853,Bicycle theft,11
E01009007,Birmingham 023D,48.366,-1.83908,52.5259,Bicycle theft,11
E01010414,Wolverhampton 027A,57.952,-2.06172,52.5654,Bicycle theft,10
E01009146,Birmingham 136B,41.792,-1.91365,52.4732,Bicycle theft,10
E01009712,Coventry 018C,21.432,-1.45532,52.4198,Bicycle theft,10
E01009553,Coventry 031B,27.253,-1.52066,52.4029,Bicycle theft,10
E01009615,Coventry 027A,18.453,-1.47946,52.4088,Bicycle theft,10
E01010508,Wolverhampton 017B,42.559,-2.13927,52.588,Bicycle theft,9
E01008992,Birmingham 079C,12.844,-1.93975,52.4622,Bicycle theft,9
E01009662,Coventry 016D,34.045,-1.48249,52.4274,Bicycle theft,9
E01009284,Birmingham 096A,21.191,-1.93872,52.442,Bicycle theft,9
E01009757,Dudley 006C,37.404,-2.07836,52.5185,Bicycle theft,9
E01010504,Wolverhampton 021D,10.826,-2.16257,52.5865,Bicycle theft,8
E01010450,Wolverhampton 029B,55.326,-2.08693,52.5677,Bicycle theft,8
E01033557,Birmingham 134B,20.868,-1.9087,52.4757,Bicycle theft,8
E01009101,Birmingham 029D,47.77,-1.79978,52.5131,Bicycle theft,8
E01010198,Solihull 019D,3.372,-1.77209,52.4083,Bicycle theft,8
E01009647,Coventry 017C,17.974,-1.52895,52.4137,Bicycle theft,8
E01033639,Birmingham 136D,49.896,-1.92261,52.4747,Bicycle theft,7
E01032530,Coventry 038F,16.519,-1.47826,52.3892,Bicycle theft,7
E01009385,Birmingham 092F,37.571,-1.88402,52.4473,Bicycle theft,7
E01010106,Sandwell 019D,43.577,-1.9972,52.5206,Bicycle theft,7
E01009641,Coventry 024F,29.572,-1.49724,52.4103,Bicycle theft,7
E01009689,Coventry 030B,19.737,-1.52511,52.4052,Bicycle theft,7
E01010369,Walsall 024D,52.658,-1.97384,52.5859,Bicycle theft,7
E01010209,Solihull 022D,12.83,-1.80716,52.3994,Bicycle theft,7
E01009572,Coventry 015D,44.338,-1.49547,52.4218,Bicycle theft,7
E01033640,Birmingham 134E,61.007,-1.89967,52.4697,Bicycle theft,6
E01010371,Walsall 030C,58.589,-1.98376,52.5809,Bicycle theft,6
E01009703,Coventry 025C,17.918,-1.59965,52.4075,Bicycle theft,6
E01009509,Birmingham 056D,39.489,-1.81351,52.4807,Bicycle theft,6
E01009183,Birmingham 088C,17.694,-1.89931,52.4479,Bicycle theft,6
E01009376,Birmingham 084C,59.053,-1.88788,52.4562,Bicycle theft,6
E01009378,Birmingham 135A,43.802,-1.88735,52.4707,Bicycle theft,6
E01009619,Coventry 038D,23.094,-1.48503,52.4011,Bicycle theft,6
E01009412,Birmingham 030C,51.801,-1.85904,52.52,Bicycle theft,6
E01009856,Dudley 035A,27.124,-2.13708,52.454,Bicycle theft,6
E01009382,Birmingham 140C,43.929,-1.86525,52.4494,Bicycle theft,6
E01009636,Coventry 024A,29.082,-1.48974,52.4133,Bicycle theft,5
E01009239,Birmingham 033F,37.061,-1.89358,52.5223,Bicycle theft,5
E01009566,Coventry 009B,41.718,-1.50445,52.4274,Bicycle theft,5
E01010103,Sandwell 017D,43.065,-2.00543,52.5258,Bicycle theft,5
E01009213,Birmingham 124E,41.167,-1.97655,52.3993,Bicycle theft,5
E01009289,Birmingham 096E,20.146,-1.93365,52.4431,Bicycle theft,5
E01009607,Coventry 004C,67.115,-1.47352,52.4362,Bicycle theft,5
E01008994,Birmingham 074B,21.737,-1.91082,52.4684,Bicycle theft,5
E01010530,Wolverhampton 035H,45.834,-2.11909,52.5816,Bicycle theft,5
