LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009642,Coventry 031C,21.685,-1.51165,52.408,Burglary,169
E01033620,Birmingham 138A,27.122,-1.8997,52.4814,Burglary,130
E01010368,Walsall 030A,61.194,-1.98722,52.5903,Burglary,94
E01010521,Wolverhampton 020F,33.7,-2.12412,52.591,Burglary,78
E01009114,Birmingham 128D,54.108,-1.94313,52.3959,Burglary,74
E01009881,Dudley 011C,59.015,-2.09226,52.5111,Burglary,70
E01010414,Wolverhampton 027A,57.952,-2.06172,52.5654,Burglary,65
E01010564,Wolverhampton 012C,38.02,-2.08241,52.5951,Burglary,65
E01010406,Walsall 027C,40.67,-2.05205,52.5775,Burglary,65
E01009688,Coventry 030A,20.967,-1.53785,52.4061,Burglary,64
E01009204,Birmingham 052E,57.368,-1.87467,52.4854,Burglary,62
E01009553,Coventry 031B,27.253,-1.52066,52.4029,Burglary,61
E01009889,Dudley 015C,48.639,-2.08252,52.5056,Burglary,59
E01009953,Sandwell 038A,40.311,-2.08846,52.4704,Burglary,58
E01033631,Birmingham 079F,12.334,-1.9212,52.4577,Burglary,57
E01008980,Birmingham 121D,67.673,-1.89813,52.4066,Burglary,56
E01033634,Birmingham 096G,15.544,-1.93014,52.4446,Burglary,56
E01033561,Birmingham 050E,26.7,-1.88445,52.4845,Burglary,54
E01010090,Sandwell 005A,39.525,-2.02987,52.5552,Burglary,53
E01008979,Birmingham 121C,60.844,-1.90812,52.4069,Burglary,49
E01010363,Walsall 026D,46.583,-1.99545,52.5822,Burglary,48
E01033562,Birmingham 087F,28.351,-1.94456,52.4525,Burglary,48
E01033615,Birmingham 135C,25.827,-1.89514,52.475,Burglary,47
E01009007,Birmingham 023D,48.366,-1.83908,52.5259,Burglary,46
E01008952,Birmingham 112B,27.467,-1.92107,52.4274,Burglary,46
E01009140,Birmingham 060C,32.387,-1.93142,52.4795,Burglary,46
E01009412,Birmingham 030C,51.801,-1.85904,52.52,Burglary,45
E01009178,Birmingham 104C,32.264,-1.89348,52.4349,Burglary,45
E01010405,Walsall 027B,36.669,-2.04053,52.5823,Burglary,45
E01009074,Birmingham 085B,54.251,-1.97462,52.4544,Burglary,43
E01009110,Birmingham 128B,50.571,-1.9245,52.3985,Burglary,43
E01009284,Birmingham 096A,21.191,-1.93872,52.442,Burglary,43
E01009690,Coventry 030C,17.47,-1.5362,52.403,Burglary,43
E01010017,Sandwell 024A,44.039,-2.00927,52.5047,Burglary,43
E01032887,Sandwell 018E,45.813,-2.01443,52.5239,Burglary,42
E01010371,Walsall 030C,58.589,-1.98376,52.5809,Burglary,42
E01009203,Birmingham 043C,56.729,-1.87508,52.4934,Burglary,42
E01009566,Coventry 009B,41.718,-1.50445,52.4274,Burglary,41
E01008930,Birmingham 106D,32.371,-1.99275,52.4223,Burglary,41
E01033635,Birmingham 039H,44.067,-1.93974,52.5018,Burglary,41
E01033058,Coventry 042F,16.18,-1.55197,52.3864,Burglary,39
E01008990,Birmingham 064E,8.186,-1.92797,52.4671,Burglary,39
